名稱,類別,基礎ATK/DEF,基礎穩定度,屬性分類,屬性名稱,屬性值1,屬性值2,說明
,,,,,matk,1%,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,175,,
,,,,,potential,?,,
,,,,,materials,"流水結晶#5,魔法人偶心臟#5,金屬#90",,
咖啡杯禮帽,追加裝備,49,,stats,max_hp,3000,,
,,,,,stronger_against_water,2,,
,,,,,water_resistance,-30,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,100,,
,,,,,potential,?,,
,,,,,materials,"魔法砂糖#3,高級小麥粉#1,金屬#100",,
科隆耳環,追加裝備,20,,stats,max_mp,100,,
,,,,,fire_resistance,-7,,
,,,,,magical_barrier,2500,,
,,,,obtain,type,mobs,,
,,,,,name,裏德爾科隆,,
,,,,,map,洛庫庫平原,,
科隆帽,追加裝備,5,,stats,natural_hp_regen,-5%,,
,,,,,max_hp,150,,
,,,,obtain,type,smith,,
,,,,obtain,type,quest,,
,,,,,name,妨礙開發的怪物,,
,,,,,npc,尤尼斯,,
,,,,,map,索菲亞街道,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,75,,
,,,,,potential,?,,
,,,,,materials,"科隆老大的皮#10,科隆葉子#15",,
科隆帽,追加裝備,5,,stats,natural_hp_regen,-10%,,
,,,,,max_hp,200,,
,,,,obtain,type,boss,,
,,,,,name,科隆老大,,
,,,,,map,規劃中地區,,
科隆帽 (Boss ver),追加裝備,5,,stats,natural_hp_regen,-15%,,
,,,,,max_hp,250,,
,,,,obtain,type,mini_boss,,
,,,,,name,科隆長官,,
,,,,,map,史多姆連通道,,
路錐頭罩,追加裝備,80,,stats,critical_rate,20,,
,,,,,unsheathe_attack,15,,
,,,,,reduce_dmg_bowling,25,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,1000,,
,,,,,potential,?,,
,,,,,materials,"塑膠碎片#5,黑暗書頁#1",,
路錐小帽,追加裝備,8,,stats,max_mp,200,,
,,,,,stability,4,,
,,,,,critical_rate,1,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,10,,
,,,,,potential,?,,
,,,,,materials,塑膠碎片#5,,
烹飪圍裙,追加裝備,65,,stats,natural_hp_regen,20%,,
,,,,,natural_mp_regen,20%,,
,,,,,fire_resistance,2,,
,,,,,fractional_barrier,20,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,675,,
,,,,,potential,?,,
,,,,,materials,"成熟樹果#10,怪蜥糰子#10,好吃的香菇#10,布料#340",,
烹飪圍裙,追加裝備,65,,stats,natural_hp_regen,20%,,
,,,,,natural_mp_regen,20%,,
,,,,,fire_resistance,1,,
,,,,,fractional_barrier,15,,
,,,,obtain,type,mobs,,
,,,,,name,苔岩甲兵,,
,,,,,map,米斯魯那山遺跡．中空迴廊,,
,,,,obtain,type,mobs,,
,,,,,name,苔岩甲兵,,
,,,,,map,"米斯魯那山遺跡．露天迴廊 ",,
水晶頭飾,追加裝備,40,,stats,max_mp,500,,
,,,,,light_resistance,10,,
,,,,obtain,type,mobs,,
,,,,,name,魔能冰晶,,
,,,,,map,納維達市街．十字路口 (80-100),,
,,,,obtain,type,mobs,,
,,,,,name,魔能冰晶,,
,,,,,map,納維達市街．西 (80-100),,
,,,,obtain,type,mobs,,
,,,,,name,魔能冰晶,,
,,,,,map,納維達市街．東 (80-100),,
,,,,obtain,type,mobs,,
,,,,,name,魔能冰晶,,
,,,,,map,納維達市街．十字路口 (100-120),,
,,,,obtain,type,mobs,,
,,,,,name,魔能冰晶,,
,,,,,map,納維達市街．東 (100-120),,
,,,,obtain,type,mobs,,
,,,,,name,魔能冰晶,,
,,,,,map,納維達市街．西 (100-120),,
,,,,obtain,type,mobs,,
,,,,,name,魔能冰晶,,
,,,,,map,納維達市街．十字路口 (60-80),,
,,,,obtain,type,mobs,,
,,,,,name,魔能冰晶,,
,,,,,map,納維達市街．西  (60-80),,
,,,,obtain,type,mobs,,
,,,,,name,魔能冰晶,,
,,,,,map,納維達市街．東 (60-80),,
水晶耳環,追加裝備,6,,stats,max_mp,250,,
,,,,,physical_resistance,-5,,
,,,,,magic_resistance,-5,,
,,,,obtain,type,boss,,
,,,,,name,凝膠糖精 汽水 (白色情人節 2018),,
,,,,,map,杜希市集,,
,,,,,dye,A46B44C47,,
,,,,obtain,type,boss,,
,,,,,name,凝膠糖精 可樂 (白色情人節 2018),,
,,,,,map,杜希市集,,
,,,,,dye,A46B44C47,,
水晶耳環,追加裝備,6,,stats,max_mp,100,,
,,,,,attack_mp_recovery,1,,
,,,,obtain,type,mobs,,
,,,,,name,艾莉絲,,
,,,,,map,羅諾戈斷崖,,
水晶耳環 (王掉),追加裝備,6,,stats,max_mp,300,,
,,,,obtain,type,mini_boss,,
,,,,,name,銀色洛爾,,
,,,,,map,狄帕西水道．B1,,
戀愛波多姆,追加裝備,50,,stats,atk,5%,,
,,,,,matk,5%,,
,,,,,aggro,-10,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,80,,
,,,,,potential,?,,
,,,,,materials,"神秘可可#3,可可結晶 #1,魔素#80",,
蜷曲角,追加裝備,21,,stats,matk,4%,,
,,,,,stability,8,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,300,,
,,,,,potential,?,,
,,,,,materials,"不祥的牙齒#20,真紅木材#14,死獸的獨角#2,魔素#75",,
蜷曲角,追加裝備,21,,stats,matk,2%,,
,,,,,stability,4,,
,,,,obtain,type,mobs,,
,,,,,name,流星沙 (紫色),,
,,,,,map,異界之門．第1區,,
,,,,obtain,type,mobs,,
,,,,,name,流星沙 (紫色),,
,,,,,map,異界之門．第2區,,
告死咒衣,追加裝備,80,,stats,mdef,-10%,,
,,,,,physical_resistance,10,,
,,,,,magic_resistance,-20,,
,,,,,accuracy,30,,
,,,,,critical_rate,15,,
,,,,,fractional_barrier,20,,
,,,,obtain,type,boss,,
,,,,,name,幽靈兵甲,,
,,,,,map,活動,,
陰鬱兜帽,追加裝備,32,,stats,matk,5%,,
,,,,,aggro,-10,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,425,,
,,,,,potential,?,,
,,,,,materials,"庭園青苔#20,奇異面具#5,閃耀湖水#2,布料#210",,
破曉之帽,追加裝備,6,,stats,dex,3,,
,,,,,attack_mp_recovery,2,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,75,,
,,,,,potential,?,,
,,,,,materials,"厚蛙皮#30,閃亮亮的石頭#15",,
破曉之帽,追加裝備,6,,stats,dex,1,,
,,,,,attack_mp_recovery,1,,
,,,,obtain,type,mobs,,
,,,,,name,紅蛙,,
,,,,,map,艾特馬廢墟．第2區,,
破曉之帽 (Boss ver),追加裝備,6,,stats,evasion_rate,5,,
,,,,,attack_mp_recovery,2,,
,,,,obtain,type,mini_boss,,
,,,,,name,深紅魔蛙,,
,,,,,map,艾特馬廢墟．第2區,,
惡魔角冠,追加裝備,30,,stats,critical_rate,-25,,
,,,,,critical_damage,10%,,
,,,,,light_resistance,-10,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,600,,
,,,,,potential,?,,
,,,,,materials,"奇怪的香菇#5,不祥的犄角#25,巨大的眼球#10,魔素#300",,
惡魔角冠,追加裝備,30,,stats,critical_rate,-30,,
,,,,,critical_damage,10%,,
,,,,,light_resistance,-10,,
,,,,obtain,type,mobs,,
,,,,,name,無頭惡魔,,
,,,,,map,多洛馬廣場附近．第2區,,
,,,,obtain,type,mobs,,
,,,,,name,無頭惡魔,,
,,,,,map,多洛馬廣場附近．第3區,,
惡魔角冠,追加裝備,30,,stats,critical_rate,-20,,
,,,,,critical_damage,10%,,
,,,,,light_resistance,-15,,
,,,,obtain,type,mini_boss,,
,,,,,name,無頭惡魔處刑者,,
,,,,,map,多洛馬廣場附近．第3區,,
惡魔半面具,追加裝備,80,,stats,physical_pierce,9,,
,,,,,critical_damage,3%,,
,,,,,magical_barrier,1000,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,725,,
,,,,,potential,?,,
,,,,,materials,"禁斷樹果#20,天之砂#10,被封印的眼珠#1,金屬#375",,
魔鬼兜帽,追加裝備,50,,stats,matk,5%,,
,,,,,stability,7,,
,,,,,magic_pierce,6,,
,,,,,aggro,8,,
,,,,obtain,type,boss,,
,,,,,name,巴瘋魔,,
,,,,,map,納維達市街．中央廣場,,
狗耳朵,追加裝備,4,,stats,stability,1,,
,,,,,aspd,1%,,
,,,,,cspd,1,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,150,,
,,,,,potential,?,,
,,,,,materials,"里比可水晶#5,狼皮#35,堅固的皮草#25,藥品#75",,
狗耳朵,追加裝備,4,,stats,aspd,1%,,
,,,,,cspd,1,,
,,,,obtain,type,mobs,,
,,,,,name,白色獵犬,,
,,,,,map,豪塔幽谷,,
,,,,,dye,A1,,
龍耳,追加裝備,13,,stats,str,3,,
,,,,,critical_damage,5%,,
,,,,,wind_resistance,-5,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,300,,
,,,,,potential,?,,
,,,,,materials,"小飛龍的單翼#20,堅硬的龍皮#20,水晶粉末#20,布料#150",,
巨龍角,追加裝備,30,,stats,atk,4%,,
,,,,,stability,2,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,400,,
,,,,,potential,?,,
,,,,,materials,"魔晶獸雙角#1,堅硬的角#2,發燙角#2,獸品#200",,
尖耳飾,追加裝備,16,,stats,magic_resistance,2,,
,,,,,light_resistance,1,,
,,,,,attack_mp_recovery,4,,
,,,,obtain,type,mobs,,
,,,,,name,哥布林,,
,,,,,map,索費尼山岳要塞．城牆,,
,,,,obtain,type,mobs,,
,,,,,name,哥布林,,
,,,,,map,索費尼山岳要塞．關外,,
,,,,obtain,type,mobs,,
,,,,,name,哥布林,,
,,,,,map,索費尼山岳要塞．關內,,
尖耳飾,追加裝備,16,,stats,magic_resistance,3,,
,,,,,light_resistance,2,,
,,,,,attack_mp_recovery,4,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,400,,
,,,,,potential,?,,
,,,,,materials,"光彩結晶#5,秘銀礦石#2,金屬#175,魔素#25",,
耳罩,追加裝備,24,,stats,max_mp,300,,
,,,,,accuracy,5%,,
,,,,obtain,type,mobs,,
,,,,,name,雪怪,,
,,,,,map,朋迪冰谷,,
耳罩,追加裝備,24,,stats,max_mp,350,,
,,,,,accuracy,-5%,,
,,,,obtain,type,mini_boss,,
,,,,,name,嚴寒雪怪,,
,,,,,map,朋迪冰谷,,
耳罩,追加裝備,24,,stats,max_mp,300,,
,,,,,accuracy,10%,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,375,,
,,,,,potential,?,,
,,,,,materials,"波多姆的白毛#30,冰雪結晶#3,獸品#140,木材#50",,
復活節氣球,追加裝備,1,,stats,def,-100%,,
,,,,,mdef,-100%,,
,,,,,unsheathe_attack,100,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,10,,
,,,,,potential,?,,
,,,,,materials,"波多姆的爪子#9,蛋#3,藥品#30",,
復活節兔禮帽,追加裝備,50,,stats,max_mp,300,,
,,,,,accuracy,40,,
,,,,,aliment_resistance,-12,,
,,,,,attack_mp_recovery,6,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,10,,
,,,,,potential,?,,
,,,,,materials,"可疑的蛋#6,被單布#12,木雕人偶#3,布料#150",,
復活節鳥蛋,追加裝備,-,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A66B66C66,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A50B50C50,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A65B65C65,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A64B64C64,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A63B63C63,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A48B48C48,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A60B60C60,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A61B61C61,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A62B62C62,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A47B47C47,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A44B44C44,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A45B45C45,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A46B46C46,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A67B67C67,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A59B59C59,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A49B34C34,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A34B34C34,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A33B33C33,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A32B32C32,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A31B31C31,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A28B28C28,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A29B29C29,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A30B30C30,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A51B51C51,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A43B43C43,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A54B54C54,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A69B69C69,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A68B68C68,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A55B55C55,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A56B56C56,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A57B57C57,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A58B58C58,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A35B35C35,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A27B27C27,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A38B38C38,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A53B53C53,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A52B52C52,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A39B39C39,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A22B22C22,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A37B37C37,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A36B36C36,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A40B40C40,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A23B23C23,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A24B24C24,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A41B41C41,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A25B25C25,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A42B42C42,,
,,,,obtain,type,mobs,,
,,,,,name,復活節活動 (全部怪物),,
,,,,,map,活動,,
,,,,,dye,A26B26C26,,
蛋蛋帽,追加裝備,30,,stats,max_hp,300,,
,,,,,physical_resistance,10,,
,,,,,magic_resistance,-10,,
,,,,,guard_power,5,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,10,,
,,,,,potential,?,,
,,,,,materials,"蛋#10,金屬#30,木材#15",,
蛋蛋褲,追加裝備,30,,stats,max_mp,100,,
,,,,,physical_resistance,-10,,
,,,,,magic_resistance,10,,
,,,,,guard_rate,5,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,10,,
,,,,,potential,?,,
,,,,,materials,"蛋#10,金屬#30,布料#15",,
精靈耳飾,追加裝備,21,,stats,mdef,100,,
,,,,,cspd,300,,
,,,,,evasion_rate,5,,
,,,,,magical_barrier,750,,
,,,,obtain,type,mobs,,
,,,,,name,葉胞幼體,,
,,,,,map,豐饒之角儲水池,,
精靈耳飾,追加裝備,21,,stats,mdef,100,,
,,,,,cspd,300,,
,,,,,evasion_rate,10,,
,,,,,magical_barrier,1000,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,475,,
,,,,,potential,?,,
,,,,,materials,"幻影燐粉#15,裂開的白金護手 #15,光亮粉末#30,金屬#240",,
探險家帽,追加裝備,10,,stats,dodge,10%,,
眼罩,追加裝備,10,,stats,stability,-2,,
,,,,,accuracy,-10%,,
,,,,,critical_rate,4,,
,,,,,critical_damage,2,,
,,,,obtain,type,mobs,,
,,,,,name,藍蛙,,
,,,,,map,法比索疆域,,
眼罩（貓）,追加裝備,25,,stats,critical_damage,10,,
,,,,,atk_down_vit,1,,
,,,,obtain,type,mini_boss,,
,,,,,name,自走砲,,
,,,,,map,流浪者平原,,
妖精小帽,追加裝備,55,,stats,agi,4%,,
,,,,,max_hp,800,,
,,,,,matk,4%,,
,,,,,earth_resistance,5,,
,,,,,aggro,-15,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,600,,
,,,,,potential,?,,
,,,,,materials,"森之精靈的繩子#1,長苔的圓木#35,布料#200,魔素#100",,
假鬍子,追加裝備,1,,stats,natural_hp_regen,5%,,
,,,,,aggro,15,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,350,,
,,,,,potential,?,,
,,,,,materials,"山羊毛#10,遺失的杖#99,油膩的液體#1,布料#175",,
羽毛,追加裝備,2,,stats,magic_resistance,1,,
,,,,,dodge,3,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,75,,
,,,,,potential,?,,
,,,,,materials,"切風羽毛#10,獸品#65,布料#35",,
羽毛,追加裝備,2,,stats,dodge,3,,
,,,,obtain,type,mobs,,
,,,,,name,比克鳥,,
,,,,,map,廢棄的寺院街,,
,,,,obtain,type,mobs,,
,,,,,name,比克鳥,,
,,,,,map,廢棄的寺院．第1區,,
羽翼斗篷,追加裝備,25,,stats,natural_hp_regen,-50%,,
,,,,,max_mp,50,,
,,,,,magic_resistance,5,,
,,,,,aspd,500,,
,,,,obtain,type,mini_boss,,
,,,,,name,彩雲獸,,
,,,,,map,悠爾高原,,
羽帽,追加裝備,13,,stats,agi,2%,,
,,,,,max_mp,150,,
,,,,,aggro,-2,,
,,,,,long_range_damage,1,bow,
,,,,obtain,type,mobs,,
,,,,,name,迷你象,,
,,,,,map,哈迪丘陵,,
羽帽,追加裝備,13,,stats,agi,2%,,
,,,,,max_mp,200,,
,,,,,aggro,-3,,
,,,,,long_range_damage,1,bow,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,200,,
,,,,,potential,?,,
,,,,,materials,"堅硬的龍皮#30,黃綠色的波多姆毛髮#20,堅硬的鳥類羽毛#10,布料#100",,
格鬥家髮髻,追加裝備,16,,stats,dex,6,,
,,,,,attack_mp_recovery,1,knuckle,
,,,,,short_range_damage,2,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,200,,
,,,,,potential,?,,
,,,,,materials,"白毛皮#3,魁儡絲線#3,布料#80,金屬#20",,
格鬥家髮髻,追加裝備,16,,stats,dex,5,,
,,,,,attack_mp_recovery,1,knuckle,
,,,,,short_range_damage,1,,
,,,,obtain,type,mobs,,
,,,,,name,貝帝加,,
,,,,,map,聖堤里歐高原,,
菱紋企鵝帽,追加裝備,100,,stats,max_hp,30%,,
,,,,,water_resistance,10,,
,,,,,wind_resistance,-60,,
,,,,,anticipate,20,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,10000,,
,,,,,potential,?,,
,,,,,materials,"盛夏貝殼#30,彈力皮#30,黃色鳥喙#10,布料#30",,
name,追加裝備,59,,stats,max_hp,30%,,
,,,,,water_resistance,10,,
,,,,,wind_resistance,-5,,
,,,,,aggro,20,,
花樣髮圈,追加裝備,7,,stats,stability,-10,,
,,,,,attack_mp_recovery,5,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,150,,
,,,,,potential,?,,
,,,,,materials,"大葉片#30,紅色花瓣#30,藥品#75",,
花樣髮圈,追加裝備,7,,stats,stability,-5,,
,,,,,attack_mp_recovery,3,,
,,,,obtain,type,mobs,,
,,,,,name,蘋果怪（紅）,,
,,,,,map,杜希市集,,
花樣髮圈 (boss ver),追加裝備,7,,stats,stability,-5,,
,,,,,attack_mp_recovery,5,,
,,,,obtain,type,mini_boss,,
,,,,,name,大果怪,,
,,,,,map,杜希市集,,
蓬鬆披肩,追加裝備,79,,stats,max_hp,800,,
,,,,,max_mp,400,,
,,,,,wind_resistance,10,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,750,,
,,,,,potential,?,,
,,,,,materials,"冰狼的鬃毛#20,針織布#30,布料#200,獸品#175",,
魅力狐尾,追加裝備,11,,stats,agi,1,,
,,,,,aspd,75,,
,,,,,critical_rate,3,,
,,,,obtain,type,mobs,,
,,,,,name,楓糖狐狸,,
,,,,,map,費戈莊園,,
魅力狐尾,追加裝備,11,,stats,agi,2,,
,,,,,aspd,100,,
,,,,,critical_rate,3,,
,,,,obtain,type,smith,,
,,,,obtain,type,quest,,
,,,,,name,紅蓮的寶石,,
,,,,,npc,雷菲娜,,
,,,,,map,索菲亞街道,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,175,,
,,,,,potential,?,,
,,,,,materials,"綠龍的軟毛#15,上等羊毛#5,軟綿綿的毛#30,獸品#90",,
護額盔,追加裝備,51,,stats,str,4%,,
,,,,,guard_power,7,,
,,,,,guard_rate,3,,
,,,,,weapon_atk,8%,,
,,,,obtain,type,mobs,,
,,,,,name,鏽蝕鬥士,,
,,,,,map,戰士搖籃．入口,,
,,,,obtain,type,mobs,,
,,,,,name,鏽蝕鬥士,,
,,,,,map,戰士搖籃．內部,,
護額盔,追加裝備,51,,stats,str,5%,,
,,,,,guard_power,7,,
,,,,,guard_rate,3,,
,,,,,weapon_atk,10%,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,425,,
,,,,,potential,?,,
,,,,,materials,"銳利的盾牌碎片 #20,騎士的腰帶#25,金屬#120,布料#100",,
頭具,追加裝備,12,,stats,max_hp,1500,,
,,,,,def,15,,
,,,,,physical_resistance,1,,
,,,,obtain,type,boss,,
,,,,,name,陽光波多姆,,
,,,,,map,活動,,
,,,,,dye,C44,,
,,,,obtain,type,boss,,
,,,,,name,陽光波多姆,,
,,,,,map,活動,,
,,,,,dye,C38,,
,,,,obtain,type,boss,,
,,,,,name,陽光波多姆,,
,,,,,map,活動,,
,,,,,dye,C42,,
頭具,追加裝備,12,,stats,max_hp,200,,
,,,,,def,20,,
,,,,,physical_resistance,2,,
,,,,obtain,type,smith,,
,,,,recipe,item_level,?,,
,,,,,item_difficulty,0,,
,,,,,cost,175,,
,,,,,potential,?,,
,,,,,materials,"扭曲的小頭盔#20,尖銳的岩片#20,布料#60,獸品#30",,
頭具,追加裝備,12,,stats,max_hp,150,,
,,,,,def,15,,
,,,,,physical_resistance,1,,
,,,,obtain,type,mobs,,
,,,,,name,鼠劍客,,
,,,,,map,斯卡羅街區．第1區,,
,,,,obtain,type,boss,,
,,,,,name,陽光波多姆,,
,,,,,map,活動,,
,,,,,dye,C44,,
,,,,obtain,type,boss,,
,,,,,name,慶典魔像2號,,
,,,,,map,活動,,
,,,,,dye,C44,,
,,,,obtain,type,boss,,
,,,,,name,慶典魔像3號,,
,,,,,map,周年慶競技場 第1會場,,
,,,,,dye,C28,,
,,,,obtain,type,boss,,
,,,,,name,慶典魔像3號,,
,,,,,map,活動,,
,,,,,dye,C28,,
,,,,obtain,type,mobs,,
